year,price,lnprice,winterrain,harvestrain,agst,age,francepop
1952,1799.0245,7.4949999,600,160,17.116699,31,43183.57
1953,3100.4419,8.0393,690,80,16.733299,30,43495.031
1955,2177.2112,7.6858001,502,130,17.15,28,44217.855
1957,1079.7664,6.9844999,420,110,16.133301,26,45152.254
1958,877.60815,6.7772002,582,187,16.4167,25,45653.805
1959,3215.3767,8.0756998,485,187,17.483299,24,46128.637
1960,677.7644,6.5187998,763,290,16.4167,23,46583.996
1961,4883.9033,8.4937,830,38,17.3333,22,47128.004
1962,1616.47,7.388,697,52,16.299999,21,48088.672
1963,822.78906,6.7126999,608,155,15.7167,20,48798.988
1964,1494.2805,7.3094001,402,96,17.266701,19,49356.941
1965,518.94611,6.2518001,602,267,15.3667,18,49801.82
1966,2308.377,7.7442999,819,86,16.5333,17,50254.965
1967,934.30212,6.8397999,714,118,16.233299,16,50650.406
1968,514.6568,6.2435002,610,292,16.200001,15,51034.414
1969,570.15033,6.3459001,575,244,16.549999,14,51470.277
1970,1974.9537,7.5883002,622,89,16.6667,13,51918.391
1971,1330.6195,7.1933999,551,112,16.766701,12,52431.648
1972,495.16934,6.2048998,536,158,14.9833,11,52894.184
1973,762.57446,6.6367002,376,123,17.0667,10,53332.805
1974,541.36829,6.2940998,574,184,16.299999,9,53689.609
1975,1468.5045,7.2919998,572,171,16.950001,8,53955.043
1976,1237.8112,7.1210999,418,247,17.65,7,54159.051
1977,522.53912,6.2586999,821,87,15.5833,6,54378.363
1978,1320.8092,7.1859999,763,51,15.8167,5,54602.191
1979,1047.4355,6.9541001,717,122,16.1667,4,54835.832
1980,663.74628,6.4979,578,74,16,3,55110.234
